City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,5,CA,1586382256,65,69.45,-133.04,8.6,12.75
Hithadhoo,84,MV,1586382256,68,-0.6,73.08,84.83,10.27
Mataura,100,NZ,1586382256,88,-46.19,168.86,52.0,17.0
Grindavik,75,IS,1586382256,83,63.84,-22.43,33.8,2.24
Bredasdorp,30,ZA,1586382257,77,-34.53,20.04,60.01,11.41
São João da Barra,90,BR,1586382257,88,-21.64,-41.05,71.6,6.93
Coahuayana Viejo,40,MX,1586382257,21,18.73,-103.68,93.2,11.41
Moa,0,CU,1586382257,55,20.66,-74.94,83.5,8.63
Oskaloosa,90,US,1586382258,51,41.3,-92.64,61.0,19.46
Tuatapere,100,NZ,1586382258,88,-46.13,167.68,52.0,17.0
Upernavik,7,GL,1586382258,86,72.79,-56.15,15.13,2.95
Lompoc,40,US,1586382138,71,34.64,-120.46,59.0,4.7
Atuona,3,PF,1586382259,78,-9.8,-139.03,82.63,14.99
Makakilo City,90,US,1586382098,61,21.35,-158.09,80.6,6.93
Hofn,70,IS,1586382259,91,64.25,-15.21,29.8,3.36
Ribeira Grande,2,PT,1586382259,83,38.52,-28.7,61.3,8.77
Rikitea,73,PF,1586382260,81,-23.12,-134.97,76.51,10.89
Sandakan,20,MY,1586382260,94,5.84,118.12,77.0,1.28
Bluff,100,NZ,1586382260,88,-46.6,168.33,52.0,17.0
Kataysk,18,RU,1586382260,91,56.29,62.58,24.87,11.23
Ust-Kuyga,90,RU,1586382260,91,70.02,135.6,2.39,6.89
Mount Gambier,75,AU,1586382261,100,-37.83,140.77,46.4,4.7
Kapaa,40,US,1586382261,69,22.08,-159.32,78.01,5.82
Ushuaia,15,AR,1586382261,32,-54.8,-68.3,68.0,23.04
Fort Nelson,75,CA,1586382262,23,58.81,-122.7,41.0,16.11
Kimbe,54,PG,1586382262,85,-5.55,150.14,77.85,2.59
Vao,31,NC,1586382262,72,-22.67,167.48,75.07,14.7
Nikolskoye,100,RU,1586382262,64,59.7,30.79,46.4,8.95
Namatanai,80,PG,1586382263,74,-3.67,152.43,82.44,4.9
Jingdezhen,33,CN,1586382263,72,29.29,117.21,57.24,2.66
Atar,0,MR,1586382263,13,20.52,-13.05,84.31,6.33
Turukhansk,100,RU,1586382263,94,65.82,87.98,29.17,16.2
Saýat,90,TM,1586382264,93,38.78,63.88,35.6,16.11
Dehlorān,89,IR,1586382264,45,32.69,47.27,76.37,10.51
Tromsø,75,NO,1586382140,86,69.65,18.96,33.8,25.28
Punta Arenas,0,CL,1586382259,42,-53.15,-70.92,68.0,11.41
Yar-Sale,100,RU,1586382265,96,66.83,70.83,15.85,15.46
Necochea,0,AR,1586382265,76,-38.55,-58.74,55.99,1.01
Rāzole,25,IN,1586382265,96,16.48,81.83,78.96,3.51
Jamestown,1,US,1586382265,66,42.1,-79.24,60.8,13.87
Barrow,1,US,1586382266,83,71.29,-156.79,-5.8,5.82
Sørland,86,NO,1586382266,73,67.67,12.69,38.62,18.1
Valleyview,92,CA,1586382266,65,55.07,-117.29,34.41,1.03
Puerto Ayora,20,EC,1586382266,74,-0.74,-90.35,84.2,10.29
Hilo,90,US,1586382266,69,19.73,-155.09,78.8,3.36
George Town,40,MY,1586382267,88,5.41,100.34,80.6,4.34
Antipovka,40,RU,1586382267,56,49.83,45.31,44.83,15.08
Batagay-Alyta,100,RU,1586382267,87,67.8,130.41,19.26,2.75
Mengyin,100,CN,1586382267,70,35.71,117.93,44.62,8.14
Shīeli,63,KZ,1586382268,68,44.17,66.75,39.06,9.22
Bethel,40,US,1586382268,62,41.37,-73.41,62.01,6.93
Yellowknife,20,CA,1586382268,38,62.46,-114.35,26.6,9.17
Kita,0,ML,1586382268,10,13.03,-9.49,88.7,4.83
Busselton,13,AU,1586382121,49,-33.65,115.33,64.0,8.68
Kryry,0,CZ,1586382269,48,50.17,13.43,53.01,2.24
Vestmanna,32,FO,1586382269,74,62.16,-7.17,37.4,5.82
Mehamn,90,NO,1586382269,94,71.04,27.85,33.8,17.22
Souillac,75,MU,1586382270,83,-20.52,57.52,79.0,10.29
Bathsheba,40,BB,1586382270,61,13.22,-59.52,82.4,14.99
Mookane,20,BW,1586382270,50,-23.69,26.66,66.33,19.04
Furukawa,20,JP,1586382270,75,38.57,140.96,46.4,12.75
Collie,0,AU,1586382270,49,-33.37,116.15,64.0,2.06
Salina,1,US,1586382228,22,38.84,-97.61,80.6,25.28
Dingle,77,PH,1586382271,80,11.0,122.67,76.57,7.65
Pevek,100,RU,1586382271,92,69.7,170.31,-3.39,5.59
